v (cm^-1),intensity
689.982350,0.052411
687.567200,0.052411
685.152050,0.053459
682.736900,0.053459
680.321750,0.053459
677.906600,0.053459
675.491450,0.053459
673.076300,0.078616
670.662500,0.078616
668.247350,0.078616
665.832200,0.053459
663.417050,0.053459
661.001900,0.053459
658.586750,0.053459
656.171600,0.053459
653.756450,0.053459
651.341300,0.078616
648.926150,0.078616
646.511000,0.078616
644.097200,0.053459
641.682050,0.053459
639.266900,0.053459
636.851750,0.053459
634.436600,0.053459
632.021450,0.052411
629.606300,0.052411
627.191150,0.052411
605.456150,0.041312
603.041000,0.040079
600.625850,0.038846
598.210700,0.037613
595.795550,0.036379
593.380400,0.035146
590.966600,0.033913
588.551450,0.032680
586.136300,0.031447
583.721150,0.031709
581.306000,0.031971
578.890850,0.032233
576.475700,0.032495
574.060550,0.032495
571.645400,0.032495
569.230250,0.032495
566.815100,0.033543
564.401300,0.033543
561.986150,0.033543
559.571000,0.034591
557.155850,0.035639
554.740700,0.036688
552.325550,0.036688
549.910400,0.036688
547.495250,0.036688
545.080100,0.037736
542.664950,0.037736
540.249800,0.037736
537.836000,0.038784
535.420850,0.039832
533.005700,0.039832
530.590550,0.039832
528.175400,0.040881
525.760250,0.040881
523.345100,0.041929
520.929950,0.041929
518.514800,0.044025
516.099650,0.046122
513.684500,0.046122
511.270700,0.047170
508.855550,0.048218
506.440400,0.048218
504.025250,0.049266
501.610100,0.049266
499.194950,0.056604
496.779800,0.056604
494.364650,0.058700
491.949500,0.060797
489.534350,0.064990
487.119200,0.068134
484.705400,0.071279
482.290250,0.073375
479.875100,0.094031
477.459950,0.100629
475.044800,0.117400
472.629650,0.136268
470.214500,0.138365
467.799350,0.159329
465.384200,0.182390
462.969050,0.201258
460.553900,0.224319
458.140100,0.226415
455.724950,0.245283
453.309800,0.264151
450.894650,0.291405
448.479500,0.318658
446.064350,0.360587
443.649200,0.385744
441.234050,0.424528
438.818900,0.473585
436.403750,0.522642
433.988600,0.557652
431.574800,0.574423
429.159650,0.669811
426.744500,0.707809
424.329350,0.740042
421.914200,0.779874
419.499050,0.821803
417.083900,0.822851
414.668750,0.823899
412.253600,0.823899
409.838450,0.786164
407.423300,0.775010
405.009500,0.750566
402.594350,0.726122
400.179200,0.701677
