Δν (CM⁻¹),INTENSITY
588.331400,0.265886
586.244300,0.267559
584.157200,0.268395
582.071450,0.269231
579.984350,0.270903
577.898600,0.272575
575.811500,0.273411
573.724400,0.275084
571.638650,0.276756
569.551550,0.278428
567.465800,0.280100
565.378700,0.282609
563.291600,0.285117
561.205850,0.288462
559.118750,0.290970
557.033000,0.295151
554.945900,0.300167
552.858800,0.306020
550.773050,0.314486
548.685950,0.322952
546.600200,0.331417
544.513100,0.339883
542.426000,0.348349
540.340250,0.356814
538.253150,0.365280
536.167400,0.373746
534.080300,0.382107
531.993200,0.402501
529.907450,0.416388
527.820350,0.421405
525.734600,0.434783
523.647500,0.446488
521.560400,0.458194
519.474650,0.476589
517.387550,0.481605
515.301800,0.528428
513.214700,0.543478
511.128950,0.590301
509.041850,0.626836
506.954750,0.647230
504.869000,0.667624
502.781900,0.688018
500.696150,0.708412
498.609050,0.728806
496.521950,0.755853
494.436200,0.769594
492.349100,0.821070
490.263350,0.852843
488.176250,0.872910
486.089150,0.851171
484.003400,0.852007
481.916300,0.852843
479.830550,0.852843
477.743450,0.812709
475.656350,0.795151
473.570600,0.777592
471.483500,0.760033
469.397750,0.742475
467.310650,0.724916
465.223550,0.707358
463.137800,0.689799
461.050700,0.672241
458.964950,0.645485
456.877850,0.617057
454.790750,0.595318
452.705000,0.571906
450.617900,0.523411
448.532150,0.505017
446.445050,0.488294
444.357950,0.454849
442.272200,0.439799
440.185100,0.438127
438.099350,0.423077
436.012250,0.421405
433.925150,0.400502
431.839400,0.379599
429.752300,0.377926
427.666550,0.365385
425.579450,0.362040
423.493700,0.356187
421.406600,0.352843
419.319500,0.347826
417.233750,0.342809
415.146650,0.341973
413.060900,0.340301
410.973800,0.339465
408.886700,0.332776
406.800950,0.332776
404.713850,0.332776
402.628100,0.331104
400.541000,0.331104
398.453900,0.331104
396.368150,0.330268
394.281050,0.329431
392.195300,0.329431
390.108200,0.328595
388.021100,0.329431
385.935350,0.329431
383.848250,0.329431
381.762500,0.329431
379.675400,0.329431
377.588300,0.329431
375.502550,0.331104
373.415450,0.332776
371.329700,0.332776
369.242600,0.332776
367.155500,0.334448
365.069750,0.334448
362.982650,0.335284
360.896900,0.335284
358.809800,0.335284
356.722700,0.336957
354.636950,0.338629
352.549850,0.340301
350.464100,0.340301
348.377000,0.341137
346.289900,0.341973
344.204150,0.342809
342.117050,0.343645
340.031300,0.342809
337.944200,0.342809
335.858450,0.347826
333.771350,0.347826
331.684250,0.348662
329.598500,0.349498
327.511400,0.350334
325.425650,0.351171
323.338550,0.352007
321.251450,0.352007
319.165700,0.352007
317.078600,0.354515
314.992850,0.357023
312.905750,0.357023
310.818650,0.357860
308.732900,0.358696
306.645800,0.359532
304.560050,0.360368
302.472950,0.359532
300.385850,0.359532
298.300100,0.367057
296.213000,0.367057
294.127250,0.367893
292.040150,0.367057
289.953050,0.367893
287.867300,0.368729
285.780200,0.368729
283.694450,0.372910
281.607350,0.377090
279.520250,0.377090
277.434500,0.377926
